31 op 34  0.603055 ms
31 op 35  0.605903 ms

32 op 0  0.095180 ms
32 op 1  0.098201 ms
32 op 10  0.501822 ms
32 op 11  0.195717 ms
32 op 12  0.507341 ms
32 op 30  0.504718 ms
32 op 31  0.198867 ms
32 op 32  0.509869 ms
32 op 34  0.602858 ms
32 op 35  0.605677 ms

33 op 0  0.094747 ms
33 op 1  0.097732 ms
33 op 10  0.502150 ms
33 op 11  0.195528 ms
33 op 12  0.509793 ms
33 op 30  0.505399 ms
33 op 31  0.198429 ms
33 op 32  0.511158 ms
33 op 34  0.603269 ms
33 op 35  0.606092 ms

34 op 0  0.094998 ms
34 op 1  0.098074 ms
34 op 10  0.514989 ms
34 op 11  0.195827 ms
34 op 12  0.520973 ms
34 op 30  0.518204 ms
34 op 31  0.198745 ms
34 op 32  0.523744 ms
34 op 34  0.615461 ms
34 op 35  0.618592 ms

35 op 0  0.094647 ms
35 op 1  0.097637 ms
35 op 10  0.503239 ms
35 op 11  0.195602 ms
35 op 12  0.510548 ms
35 op 30  0.506027 ms
35 op 31  0.198359 ms
35 op 32  0.513726 ms
35 op 34  0.603797 ms
35 op 35  0.606897 ms

36 op 0  0.094822 ms
36 op 1  0.103585 ms
36 op 10  0.502263 ms
36 op 11  0.195892 ms
36 op 12  0.508217 ms
36 op 30  0.505429 ms
36 op 31  0.198734 ms
36 op 32  0.511033 ms
36 op 34  0.604357 ms
36 op 35  0.607259 ms

37 op 0  0.109216 ms
37 op 1  0.112213 ms
37 op 10  0.501896 ms
37 op 11  0.209941 ms
37 op 12  0.507414 ms
37 op 30  0.504772 ms
37 op 31  0.213058 ms
37 op 32  0.510279 ms
37 op 34  0.602826 ms
37 op 35  0.605725 ms

38 op 0  0.095359 ms
38 op 1  0.098339 ms
38 op 10  0.513049 ms
38 op 11  0.195912 ms
38 op 12  0.519044 ms
38 op 30  0.516155 ms
38 op 31  0.198893 ms
38 op 32  0.521903 ms
38 op 34  0.613702 ms
38 op 35  0.616938 ms

39 op 0  0.094671 ms
39 op 1  0.097560 ms
39 op 10  0.500757 ms
39 op 11  0.195497 ms
39 op 12  0.506164 ms
39 op 30  0.503531 ms
39 op 31  0.198655 ms
39 op 32  0.508827 ms
39 op 34  0.601633 ms
39 op 35  0.604518 ms

40 op 0  0.095173 ms
40 op 1  0.098024 ms
40 op 10  0.503133 ms
40 op 11  0.195599 ms
40 op 12  0.508943 ms
40 op 30  0.506195 ms
40 op 31  0.198121 ms
40 op 32  0.511492 ms
40 op 34  0.604668 ms
40 op 35  0.607188 ms

41 op 0  0.094923 ms
41 op 1  0.097757 ms
41 op 10  0.503858 ms
41 op 11  0.195759 ms
41 op 12  0.509308 ms
41 op 30  0.506494 ms
41 op 31  0.198508 ms
41 op 32  0.511685 ms
41 op 34  0.604232 ms
41 op 35  0.606874 ms

42 op 0  0.095288 ms
42 op 1  0.098076 ms
42 op 10  0.502596 ms
42 op 11  0.196111 ms
42 op 12  0.508293 ms
42 op 30  0.505665 ms
42 op 31  0.199229 ms
42 op 32  0.510923 ms
42 op 34  0.603656 ms
42 op 35  0.606549 ms

43 op 0  0.094833 ms
43 op 1  0.097720 ms
43 op 10  0.501839 ms
43 op 11  0.195480 ms
43 op 12  0.507393 ms
43 op 30  0.504626 ms
43 op 31  0.198320 ms
43 op 32  0.509819 ms
43 op 34  0.602926 ms
43 op 35  0.605502 ms

44 op 0  0.095014 ms
44 op 1  0.097875 ms
44 op 10  0.508073 ms
44 op 11  0.203256 ms
44 op 12  0.515350 ms
44 op 30  0.510772 ms
44 op 31  0.206467 ms
44 op 32  0.518089 ms
44 op 34  0.608941 ms
44 op 35  0.612003 ms

45 op 0  0.094857 ms
45 op 1  0.097932 ms
45 op 10  0.501184 ms
45 op 11  0.195737 ms
45 op 12  0.507012 ms
45 op 30  0.504232 ms
45 op 31  0.198757 ms
45 op 32  0.510355 ms
45 op 34  0.601699 ms
45 op 35  0.604668 ms

46 op 0  0.094939 ms
46 op 1  0.097882 ms
46 op 10  0.502482 ms
46 op 11  0.195671 ms
46 op 12  0.508399 ms
46 op 30  0.505637 ms
46 op 31  0.198703 ms
46 op 32  0.510903 ms
46 op 34  0.603430 ms
46 op 35  0.606330 ms

47 op 0  0.095072 ms
47 op 1  0.097940 ms
47 op 10  0.502170 ms
47 op 11  0.195893 ms
47 op 12  0.507949 ms
47 op 30  0.504992 ms
47 op 31  0.198722 ms
47 op 32  0.510963 ms
47 op 34  0.602908 ms
47 op 35  0.605866 ms

48 op 0  0.094944 ms
48 op 1  0.097899 ms
48 op 10  0.501353 ms
48 op 11  0.195508 ms
48 op 12  0.508990 ms
48 op 30  0.504361 ms
48 op 31  0.198572 ms
48 op 32  0.510390 ms
48 op 34  0.602193 ms
48 op 35  0.605106 ms

49 op 0  0.095102 ms
49 op 1  0.098164 ms
49 op 10  0.500862 ms
49 op 11  0.196137 ms
49 op 12  0.506683 ms
49 op 30  0.503829 ms
49 op 31  0.199068 ms
49 op 32  0.508957 ms
49 op 34  0.601846 ms
49 op 35  0.604798 ms

50 op 0  0.095120 ms
50 op 1  0.097859 ms
50 op 10  0.503407 ms
50 op 11  0.195619 ms
50 op 12  0.511220 ms
50 op 30  0.506497 ms
50 op 31  0.198458 ms
50 op 32  0.512624 ms
50 op 34  0.604527 ms
50 op 35  0.607737 ms

51 op 0  0.094713 ms
51 op 1  0.097857 ms
51 op 10  0.500735 ms
51 op 11  0.195903 ms
51 op 12  0.506473 ms
51 op 30  0.503592 ms
51 op 31  0.199115 ms
51 op 32  0.510268 ms
51 op 34  0.601768 ms
51 op 35  0.604712 ms

52 op 0  0.095012 ms
52 op 1  0.097975 ms
52 op 10  0.503376 ms
52 op 11  0.195821 ms
52 op 12  0.510979 ms
52 op 30  0.506296 ms
52 op 31  0.198728 ms
52 op 32  0.513466 ms
52 op 34  0.604186 ms
52 op 35  0.607139 ms

53 op 0  0.094977 ms
53 op 1  0.097762 ms
53 op 10  0.503145 ms
